experiment,treatment,session,match_period,match_group,supergame_period,supergame_ending,player,role,a1,a2,a3,a4,a5,a6,observation
rankin et al._2000,0,1,19,N/A,N/A,N/A,rankin et al._2000_24,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,2,N/A,N/A,N/A,rankin et al._2000_17,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,2,N/A,N/A,N/A,rankin et al._2000_18,player_2,4,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,2,N/A,N/A,N/A,rankin et al._2000_19,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,2,N/A,N/A,N/A,rankin et al._2000_20,player_2,4,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,2,N/A,N/A,N/A,rankin et al._2000_21,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,2,N/A,N/A,N/A,rankin et al._2000_22,player_2,4,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,2,N/A,N/A,N/A,rankin et al._2000_23,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,2,N/A,N/A,N/A,rankin et al._2000_24,player_2,4,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,24,N/A,N/A,N/A,rankin et al._2000_17,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,24,N/A,N/A,N/A,rankin et al._2000_21,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,24,N/A,N/A,N/A,rankin et al._2000_18,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,24,N/A,N/A,N/A,rankin et al._2000_20,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,24,N/A,N/A,N/A,rankin et al._2000_19,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,24,N/A,N/A,N/A,rankin et al._2000_22,player_2,4,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,24,N/A,N/A,N/A,rankin et al._2000_23,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,24,N/A,N/A,N/A,rankin et al._2000_24,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,26,N/A,N/A,N/A,rankin et al._2000_17,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,26,N/A,N/A,N/A,rankin et al._2000_19,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,26,N/A,N/A,N/A,rankin et al._2000_18,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,26,N/A,N/A,N/A,rankin et al._2000_20,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,26,N/A,N/A,N/A,rankin et al._2000_21,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,26,N/A,N/A,N/A,rankin et al._2000_22,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,26,N/A,N/A,N/A,rankin et al._2000_23,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,26,N/A,N/A,N/A,rankin et al._2000_24,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,28,N/A,N/A,N/A,rankin et al._2000_17,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,28,N/A,N/A,N/A,rankin et al._2000_21,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,28,N/A,N/A,N/A,rankin et al._2000_18,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,28,N/A,N/A,N/A,rankin et al._2000_22,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,28,N/A,N/A,N/A,rankin et al._2000_19,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,28,N/A,N/A,N/A,rankin et al._2000_23,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,28,N/A,N/A,N/A,rankin et al._2000_20,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,28,N/A,N/A,N/A,rankin et al._2000_24,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,29,N/A,N/A,N/A,rankin et al._2000_17,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,29,N/A,N/A,N/A,rankin et al._2000_18,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,29,N/A,N/A,N/A,rankin et al._2000_19,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,29,N/A,N/A,N/A,rankin et al._2000_20,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,29,N/A,N/A,N/A,rankin et al._2000_21,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,29,N/A,N/A,N/A,rankin et al._2000_22,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,29,N/A,N/A,N/A,rankin et al._2000_23,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,29,N/A,N/A,N/A,rankin et al._2000_24,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,30,N/A,N/A,N/A,rankin et al._2000_17,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,30,N/A,N/A,N/A,rankin et al._2000_23,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,30,N/A,N/A,N/A,rankin et al._2000_18,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,30,N/A,N/A,N/A,rankin et al._2000_21,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,30,N/A,N/A,N/A,rankin et al._2000_19,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,30,N/A,N/A,N/A,rankin et al._2000_22,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,30,N/A,N/A,N/A,rankin et al._2000_20,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,30,N/A,N/A,N/A,rankin et al._2000_24,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,34,N/A,N/A,N/A,rankin et al._2000_17,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,34,N/A,N/A,N/A,rankin et al._2000_21,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,34,N/A,N/A,N/A,rankin et al._2000_18,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,34,N/A,N/A,N/A,rankin et al._2000_22,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,34,N/A,N/A,N/A,rankin et al._2000_19,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,34,N/A,N/A,N/A,rankin et al._2000_24,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,34,N/A,N/A,N/A,rankin et al._2000_20,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,34,N/A,N/A,N/A,rankin et al._2000_23,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,35,N/A,N/A,N/A,rankin et al._2000_17,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,35,N/A,N/A,N/A,rankin et al._2000_23,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,35,N/A,N/A,N/A,rankin et al._2000_18,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,35,N/A,N/A,N/A,rankin et al._2000_20,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,35,N/A,N/A,N/A,rankin et al._2000_19,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,35,N/A,N/A,N/A,rankin et al._2000_22,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,35,N/A,N/A,N/A,rankin et al._2000_21,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,35,N/A,N/A,N/A,rankin et al._2000_24,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,37,N/A,N/A,N/A,rankin et al._2000_17,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,37,N/A,N/A,N/A,rankin et al._2000_22,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,37,N/A,N/A,N/A,rankin et al._2000_18,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,37,N/A,N/A,N/A,rankin et al._2000_24,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,37,N/A,N/A,N/A,rankin et al._2000_19,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,37,N/A,N/A,N/A,rankin et al._2000_20,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,37,N/A,N/A,N/A,rankin et al._2000_21,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,37,N/A,N/A,N/A,rankin et al._2000_23,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,4,N/A,N/A,N/A,rankin et al._2000_17,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,4,N/A,N/A,N/A,rankin et al._2000_22,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,4,N/A,N/A,N/A,rankin et al._2000_18,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,4,N/A,N/A,N/A,rankin et al._2000_20,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,4,N/A,N/A,N/A,rankin et al._2000_19,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,4,N/A,N/A,N/A,rankin et al._2000_24,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,4,N/A,N/A,N/A,rankin et al._2000_21,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,4,N/A,N/A,N/A,rankin et al._2000_23,player_2,4,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,41,N/A,N/A,N/A,rankin et al._2000_17,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,41,N/A,N/A,N/A,rankin et al._2000_24,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,41,N/A,N/A,N/A,rankin et al._2000_18,player_1,2,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,41,N/A,N/A,N/A,rankin et al._2000_23,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,41,N/A,N/A,N/A,rankin et al._2000_19,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,41,N/A,N/A,N/A,rankin et al._2000_21,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,41,N/A,N/A,N/A,rankin et al._2000_20,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,41,N/A,N/A,N/A,rankin et al._2000_22,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,43,N/A,N/A,N/A,rankin et al._2000_17,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,43,N/A,N/A,N/A,rankin et al._2000_20,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,43,N/A,N/A,N/A,rankin et al._2000_18,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,43,N/A,N/A,N/A,rankin et al._2000_23,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,43,N/A,N/A,N/A,rankin et al._2000_19,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,43,N/A,N/A,N/A,rankin et al._2000_22,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,43,N/A,N/A,N/A,rankin et al._2000_21,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,43,N/A,N/A,N/A,rankin et al._2000_24,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,44,N/A,N/A,N/A,rankin et al._2000_17,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,44,N/A,N/A,N/A,rankin et al._2000_21,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,44,N/A,N/A,N/A,rankin et al._2000_18,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,44,N/A,N/A,N/A,rankin et al._2000_19,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,44,N/A,N/A,N/A,rankin et al._2000_20,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,44,N/A,N/A,N/A,rankin et al._2000_24,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,44,N/A,N/A,N/A,rankin et al._2000_22,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,44,N/A,N/A,N/A,rankin et al._2000_23,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,45,N/A,N/A,N/A,rankin et al._2000_17,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,45,N/A,N/A,N/A,rankin et al._2000_20,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,45,N/A,N/A,N/A,rankin et al._2000_18,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,45,N/A,N/A,N/A,rankin et al._2000_19,player_2,4,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,45,N/A,N/A,N/A,rankin et al._2000_21,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,45,N/A,N/A,N/A,rankin et al._2000_22,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,45,N/A,N/A,N/A,rankin et al._2000_23,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,45,N/A,N/A,N/A,rankin et al._2000_24,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,47,N/A,N/A,N/A,rankin et al._2000_17,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,47,N/A,N/A,N/A,rankin et al._2000_20,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,47,N/A,N/A,N/A,rankin et al._2000_18,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,47,N/A,N/A,N/A,rankin et al._2000_19,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,47,N/A,N/A,N/A,rankin et al._2000_21,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,47,N/A,N/A,N/A,rankin et al._2000_23,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,47,N/A,N/A,N/A,rankin et al._2000_22,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,47,N/A,N/A,N/A,rankin et al._2000_24,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,49,N/A,N/A,N/A,rankin et al._2000_17,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,49,N/A,N/A,N/A,rankin et al._2000_20,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,49,N/A,N/A,N/A,rankin et al._2000_18,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,49,N/A,N/A,N/A,rankin et al._2000_22,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,49,N/A,N/A,N/A,rankin et al._2000_19,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,49,N/A,N/A,N/A,rankin et al._2000_23,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,49,N/A,N/A,N/A,rankin et al._2000_21,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,49,N/A,N/A,N/A,rankin et al._2000_24,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,53,N/A,N/A,N/A,rankin et al._2000_17,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,53,N/A,N/A,N/A,rankin et al._2000_23,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,53,N/A,N/A,N/A,rankin et al._2000_18,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,53,N/A,N/A,N/A,rankin et al._2000_21,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,53,N/A,N/A,N/A,rankin et al._2000_19,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,53,N/A,N/A,N/A,rankin et al._2000_20,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,53,N/A,N/A,N/A,rankin et al._2000_22,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,53,N/A,N/A,N/A,rankin et al._2000_24,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,56,N/A,N/A,N/A,rankin et al._2000_17,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,56,N/A,N/A,N/A,rankin et al._2000_22,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,56,N/A,N/A,N/A,rankin et al._2000_18,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,56,N/A,N/A,N/A,rankin et al._2000_21,player_2,4,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,56,N/A,N/A,N/A,rankin et al._2000_19,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,56,N/A,N/A,N/A,rankin et al._2000_24,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,56,N/A,N/A,N/A,rankin et al._2000_20,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,56,N/A,N/A,N/A,rankin et al._2000_23,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,57,N/A,N/A,N/A,rankin et al._2000_17,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,57,N/A,N/A,N/A,rankin et al._2000_24,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,57,N/A,N/A,N/A,rankin et al._2000_18,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,57,N/A,N/A,N/A,rankin et al._2000_19,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,57,N/A,N/A,N/A,rankin et al._2000_20,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,57,N/A,N/A,N/A,rankin et al._2000_21,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,57,N/A,N/A,N/A,rankin et al._2000_22,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,57,N/A,N/A,N/A,rankin et al._2000_23,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,58,N/A,N/A,N/A,rankin et al._2000_17,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,58,N/A,N/A,N/A,rankin et al._2000_18,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,58,N/A,N/A,N/A,rankin et al._2000_19,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,58,N/A,N/A,N/A,rankin et al._2000_20,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,58,N/A,N/A,N/A,rankin et al._2000_21,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,58,N/A,N/A,N/A,rankin et al._2000_23,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,58,N/A,N/A,N/A,rankin et al._2000_22,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,58,N/A,N/A,N/A,rankin et al._2000_24,player_2,3,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,59,N/A,N/A,N/A,rankin et al._2000_17,player_1,1,N/A,N/A,N/A,N/A,N/A,0
rankin et al._2000,0,1,59,N/A,N/A,N/A,rankin et al._2000_19,player_2,3,N/A,N/A,N/A,N/A,N/A,0
