experiment,treatment,session,match_period,match_group,supergame_period,supergame_ending,player,role,a1,a2,a3,a4,a5,a6,observation
cooper et al._1992,G3allnew,2,1,N/A,N/A,N/A,cooper et al._1992_5,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,1,N/A,N/A,N/A,cooper et al._1992_8,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,1,N/A,N/A,N/A,cooper et al._1992_6,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,1,N/A,N/A,N/A,cooper et al._1992_7,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,10,N/A,N/A,N/A,cooper et al._1992_1,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,10,N/A,N/A,N/A,cooper et al._1992_11,player_2,4.0,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,10,N/A,N/A,N/A,cooper et al._1992_2,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,10,N/A,N/A,N/A,cooper et al._1992_10,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,10,N/A,N/A,N/A,cooper et al._1992_3,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,10,N/A,N/A,N/A,cooper et al._1992_9,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,10,N/A,N/A,N/A,cooper et al._1992_4,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,10,N/A,N/A,N/A,cooper et al._1992_8,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,10,N/A,N/A,N/A,cooper et al._1992_5,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,10,N/A,N/A,N/A,cooper et al._1992_7,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,11,N/A,N/A,N/A,cooper et al._1992_1,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,11,N/A,N/A,N/A,cooper et al._1992_6,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,11,N/A,N/A,N/A,cooper et al._1992_2,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,11,N/A,N/A,N/A,cooper et al._1992_5,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,11,N/A,N/A,N/A,cooper et al._1992_3,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,11,N/A,N/A,N/A,cooper et al._1992_4,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,11,N/A,N/A,N/A,cooper et al._1992_7,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,11,N/A,N/A,N/A,cooper et al._1992_11,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,11,N/A,N/A,N/A,cooper et al._1992_8,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,11,N/A,N/A,N/A,cooper et al._1992_10,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,2,N/A,N/A,N/A,cooper et al._1992_1,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,2,N/A,N/A,N/A,cooper et al._1992_7,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,2,N/A,N/A,N/A,cooper et al._1992_2,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,2,N/A,N/A,N/A,cooper et al._1992_6,player_2,4.0,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,2,N/A,N/A,N/A,cooper et al._1992_3,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,2,N/A,N/A,N/A,cooper et al._1992_5,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,2,N/A,N/A,N/A,cooper et al._1992_8,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,2,N/A,N/A,N/A,cooper et al._1992_11,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,2,N/A,N/A,N/A,cooper et al._1992_9,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,2,N/A,N/A,N/A,cooper et al._1992_10,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,3,N/A,N/A,N/A,cooper et al._1992_1,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,3,N/A,N/A,N/A,cooper et al._1992_2,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,3,N/A,N/A,N/A,cooper et al._1992_3,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,3,N/A,N/A,N/A,cooper et al._1992_11,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,3,N/A,N/A,N/A,cooper et al._1992_4,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,3,N/A,N/A,N/A,cooper et al._1992_10,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,3,N/A,N/A,N/A,cooper et al._1992_5,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,3,N/A,N/A,N/A,cooper et al._1992_9,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,3,N/A,N/A,N/A,cooper et al._1992_6,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,3,N/A,N/A,N/A,cooper et al._1992_8,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,4,N/A,N/A,N/A,cooper et al._1992_1,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,4,N/A,N/A,N/A,cooper et al._1992_8,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,4,N/A,N/A,N/A,cooper et al._1992_2,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,4,N/A,N/A,N/A,cooper et al._1992_7,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,4,N/A,N/A,N/A,cooper et al._1992_3,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,4,N/A,N/A,N/A,cooper et al._1992_6,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,4,N/A,N/A,N/A,cooper et al._1992_4,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,4,N/A,N/A,N/A,cooper et al._1992_5,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,4,N/A,N/A,N/A,cooper et al._1992_9,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,4,N/A,N/A,N/A,cooper et al._1992_11,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,5,N/A,N/A,N/A,cooper et al._1992_1,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,5,N/A,N/A,N/A,cooper et al._1992_3,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,5,N/A,N/A,N/A,cooper et al._1992_4,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,5,N/A,N/A,N/A,cooper et al._1992_11,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,5,N/A,N/A,N/A,cooper et al._1992_5,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,5,N/A,N/A,N/A,cooper et al._1992_10,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,5,N/A,N/A,N/A,cooper et al._1992_6,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,5,N/A,N/A,N/A,cooper et al._1992_9,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,5,N/A,N/A,N/A,cooper et al._1992_7,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,5,N/A,N/A,N/A,cooper et al._1992_8,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,6,N/A,N/A,N/A,cooper et al._1992_1,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,6,N/A,N/A,N/A,cooper et al._1992_9,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,6,N/A,N/A,N/A,cooper et al._1992_10,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,6,N/A,N/A,N/A,cooper et al._1992_11,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,6,N/A,N/A,N/A,cooper et al._1992_2,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,6,N/A,N/A,N/A,cooper et al._1992_8,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,6,N/A,N/A,N/A,cooper et al._1992_3,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,6,N/A,N/A,N/A,cooper et al._1992_7,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,6,N/A,N/A,N/A,cooper et al._1992_4,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,6,N/A,N/A,N/A,cooper et al._1992_6,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,7,N/A,N/A,N/A,cooper et al._1992_1,player_1,1.5,N/A,N/A,N/A,N/A,N/A,0
cooper et al._1992,G3allnew,2,7,N/A,N/A,N/A,cooper et al._1992_4,player_2,3.5,N/A,N/A,N/A,N/A,N/A,0
