experiment,treatment,session,match_period,match_group,supergame_period,supergame_ending,player,role,a1,a2,a3,a4,a5,a6,observation
Ochs_1995,1,32417,11,N/A,N/A,N/A,Ochs_1995_2,player_1,0.6,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,11,N/A,N/A,N/A,Ochs_1995_9,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,12,N/A,N/A,N/A,Ochs_1995_1,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,12,N/A,N/A,N/A,Ochs_1995_2,player_2,0.9,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,12,N/A,N/A,N/A,Ochs_1995_2,player_1,0.9,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,12,N/A,N/A,N/A,Ochs_1995_3,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,12,N/A,N/A,N/A,Ochs_1995_2,player_1,0.7,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,12,N/A,N/A,N/A,Ochs_1995_4,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,12,N/A,N/A,N/A,Ochs_1995_2,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,12,N/A,N/A,N/A,Ochs_1995_5,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,12,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,12,N/A,N/A,N/A,Ochs_1995_6,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,12,N/A,N/A,N/A,Ochs_1995_2,player_1,0.7,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,12,N/A,N/A,N/A,Ochs_1995_7,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,12,N/A,N/A,N/A,Ochs_1995_2,player_1,0.6,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,12,N/A,N/A,N/A,Ochs_1995_8,player_2,0.7,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,12,N/A,N/A,N/A,Ochs_1995_2,player_1,0.3,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,12,N/A,N/A,N/A,Ochs_1995_9,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,13,N/A,N/A,N/A,Ochs_1995_1,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,13,N/A,N/A,N/A,Ochs_1995_2,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,13,N/A,N/A,N/A,Ochs_1995_2,player_1,0.6,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,13,N/A,N/A,N/A,Ochs_1995_3,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,13,N/A,N/A,N/A,Ochs_1995_2,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,13,N/A,N/A,N/A,Ochs_1995_4,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,13,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,13,N/A,N/A,N/A,Ochs_1995_5,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,13,N/A,N/A,N/A,Ochs_1995_2,player_1,0.6,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,13,N/A,N/A,N/A,Ochs_1995_6,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,13,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,13,N/A,N/A,N/A,Ochs_1995_7,player_2,0.4,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,13,N/A,N/A,N/A,Ochs_1995_2,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,13,N/A,N/A,N/A,Ochs_1995_8,player_2,0.2,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,13,N/A,N/A,N/A,Ochs_1995_2,player_1,0.8,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,13,N/A,N/A,N/A,Ochs_1995_9,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,14,N/A,N/A,N/A,Ochs_1995_1,player_1,0.6,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,14,N/A,N/A,N/A,Ochs_1995_2,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,14,N/A,N/A,N/A,Ochs_1995_2,player_1,0.1,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,14,N/A,N/A,N/A,Ochs_1995_3,player_2,0.2,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,14,N/A,N/A,N/A,Ochs_1995_2,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,14,N/A,N/A,N/A,Ochs_1995_4,player_2,0.1,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,14,N/A,N/A,N/A,Ochs_1995_2,player_1,0.4,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,14,N/A,N/A,N/A,Ochs_1995_5,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,14,N/A,N/A,N/A,Ochs_1995_2,player_1,0.4,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,14,N/A,N/A,N/A,Ochs_1995_6,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,14,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,14,N/A,N/A,N/A,Ochs_1995_7,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,14,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,14,N/A,N/A,N/A,Ochs_1995_8,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,14,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,14,N/A,N/A,N/A,Ochs_1995_9,player_2,0.8,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,15,N/A,N/A,N/A,Ochs_1995_1,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,15,N/A,N/A,N/A,Ochs_1995_2,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,15,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,15,N/A,N/A,N/A,Ochs_1995_3,player_2,0.2,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,15,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,15,N/A,N/A,N/A,Ochs_1995_4,player_2,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,15,N/A,N/A,N/A,Ochs_1995_2,player_1,0.7,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,15,N/A,N/A,N/A,Ochs_1995_5,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,15,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,15,N/A,N/A,N/A,Ochs_1995_6,player_2,0.3,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,15,N/A,N/A,N/A,Ochs_1995_2,player_1,0.4,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,15,N/A,N/A,N/A,Ochs_1995_7,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,15,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,15,N/A,N/A,N/A,Ochs_1995_8,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,15,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,15,N/A,N/A,N/A,Ochs_1995_9,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,16,N/A,N/A,N/A,Ochs_1995_1,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,16,N/A,N/A,N/A,Ochs_1995_2,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,16,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,16,N/A,N/A,N/A,Ochs_1995_3,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,16,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,16,N/A,N/A,N/A,Ochs_1995_4,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,16,N/A,N/A,N/A,Ochs_1995_2,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,16,N/A,N/A,N/A,Ochs_1995_5,player_2,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,16,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,16,N/A,N/A,N/A,Ochs_1995_6,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,16,N/A,N/A,N/A,Ochs_1995_2,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,16,N/A,N/A,N/A,Ochs_1995_7,player_2,0.8,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,16,N/A,N/A,N/A,Ochs_1995_2,player_1,0.7,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,16,N/A,N/A,N/A,Ochs_1995_8,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,16,N/A,N/A,N/A,Ochs_1995_2,player_1,0.8,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,16,N/A,N/A,N/A,Ochs_1995_9,player_2,0.9,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,17,N/A,N/A,N/A,Ochs_1995_1,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,17,N/A,N/A,N/A,Ochs_1995_2,player_2,0.6,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,17,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,17,N/A,N/A,N/A,Ochs_1995_3,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,17,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,17,N/A,N/A,N/A,Ochs_1995_4,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,17,N/A,N/A,N/A,Ochs_1995_2,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,17,N/A,N/A,N/A,Ochs_1995_5,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,17,N/A,N/A,N/A,Ochs_1995_2,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,17,N/A,N/A,N/A,Ochs_1995_6,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,17,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,17,N/A,N/A,N/A,Ochs_1995_7,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,17,N/A,N/A,N/A,Ochs_1995_2,player_1,0.4,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,17,N/A,N/A,N/A,Ochs_1995_8,player_2,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,17,N/A,N/A,N/A,Ochs_1995_2,player_1,0.7,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,17,N/A,N/A,N/A,Ochs_1995_9,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,18,N/A,N/A,N/A,Ochs_1995_1,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,18,N/A,N/A,N/A,Ochs_1995_2,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,18,N/A,N/A,N/A,Ochs_1995_2,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,18,N/A,N/A,N/A,Ochs_1995_3,player_2,0.8,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,18,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,18,N/A,N/A,N/A,Ochs_1995_4,player_2,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,18,N/A,N/A,N/A,Ochs_1995_2,player_1,0.4,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,18,N/A,N/A,N/A,Ochs_1995_5,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,18,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,18,N/A,N/A,N/A,Ochs_1995_6,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,18,N/A,N/A,N/A,Ochs_1995_2,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,18,N/A,N/A,N/A,Ochs_1995_7,player_2,0.6,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,18,N/A,N/A,N/A,Ochs_1995_2,player_1,0.6,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,18,N/A,N/A,N/A,Ochs_1995_8,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,18,N/A,N/A,N/A,Ochs_1995_2,player_1,0.3,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,18,N/A,N/A,N/A,Ochs_1995_9,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,19,N/A,N/A,N/A,Ochs_1995_1,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,19,N/A,N/A,N/A,Ochs_1995_2,player_2,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,19,N/A,N/A,N/A,Ochs_1995_2,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,19,N/A,N/A,N/A,Ochs_1995_3,player_2,0.1,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,19,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,19,N/A,N/A,N/A,Ochs_1995_4,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,19,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,19,N/A,N/A,N/A,Ochs_1995_5,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,19,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,19,N/A,N/A,N/A,Ochs_1995_6,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,19,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,19,N/A,N/A,N/A,Ochs_1995_7,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,19,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,19,N/A,N/A,N/A,Ochs_1995_8,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,19,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,19,N/A,N/A,N/A,Ochs_1995_9,player_2,0.7,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,2,N/A,N/A,N/A,Ochs_1995_1,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,2,N/A,N/A,N/A,Ochs_1995_2,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,2,N/A,N/A,N/A,Ochs_1995_2,player_1,0.4,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,2,N/A,N/A,N/A,Ochs_1995_3,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,2,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,2,N/A,N/A,N/A,Ochs_1995_4,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,2,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,2,N/A,N/A,N/A,Ochs_1995_5,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,2,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,2,N/A,N/A,N/A,Ochs_1995_6,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,2,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,2,N/A,N/A,N/A,Ochs_1995_7,player_2,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,2,N/A,N/A,N/A,Ochs_1995_2,player_1,0.6,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,2,N/A,N/A,N/A,Ochs_1995_8,player_2,0.7,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,2,N/A,N/A,N/A,Ochs_1995_2,player_1,0.9,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,2,N/A,N/A,N/A,Ochs_1995_9,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,20,N/A,N/A,N/A,Ochs_1995_1,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,20,N/A,N/A,N/A,Ochs_1995_2,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,20,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,20,N/A,N/A,N/A,Ochs_1995_3,player_2,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,20,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,20,N/A,N/A,N/A,Ochs_1995_4,player_2,0.3,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,20,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,20,N/A,N/A,N/A,Ochs_1995_5,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,20,N/A,N/A,N/A,Ochs_1995_2,player_1,0.4,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,20,N/A,N/A,N/A,Ochs_1995_6,player_2,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,20,N/A,N/A,N/A,Ochs_1995_2,player_1,0.6,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,20,N/A,N/A,N/A,Ochs_1995_7,player_2,0.7,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,20,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,20,N/A,N/A,N/A,Ochs_1995_8,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,20,N/A,N/A,N/A,Ochs_1995_2,player_1,0.7,N/A,N/A,N/A,N/A,N/A,0
